Date,Time,Grid,Sex,B_length,B_width,Tusk,Mass,Capt,ID,trap_X,trap_Y
4/30/15,12:00,1,m,24.45,12.35,2.85,0.917,n,38,11,5
4/30/15,12:00,1,f,21.75,11.8,,0.801,n,39,11,5
4/30/15,16:00,1,f,,,,,r,39,11,5
6/2/15,11:00,1,f,21.75,11.9,,0.781,r,39,7,4
4/30/15,12:00,1,f,17.8,10,,0.506,n,40,11,6
5/6/15,12:00,1,f,,,,,r,40,10,6
5/12/15,19:00,1,f,,,,,r,40,10,6
6/2/15,18:00,1,f,18.2,10.05,,0.44,r,40,5,1
4/30/15,12:00,1,f,19.45,11.1,,0.576,n,41,11,11
4/30/15,13:00,1,m,25.25,13.05,3.05,0.997,n,42,4,1
4/30/15,13:00,1,m,24.15,12.6,2.7,0.905,n,43,8,8
4/30/15,16:00,1,m,,,,,r,43,8,10
5/6/15,16:00,1,m,,,,,r,43,11,10
4/30/15,13:00,1,f,19.6,11,,0.617,n,44,10,4
4/30/15,14:00,1,m,21.55,11.5,1.25,0.707,n,45,5,1
4/30/15,14:00,1,f,21.35,11.85,,0.778,n,46,6,9
5/6/15,15:00,1,f,,,,,r,46,6,9
4/30/15,14:00,1,m,20.55,11.35,1.2,0.646,n,47,11,3
5/11/15,17:00,1,m,,,,,r,47,9,6
4/30/15,15:00,1,m,19.8,10.6,1,0.589,n,48,3,8
4/30/15,15:00,1,m,22.8,12.1,2.35,0.672,n,49,5,1
4/30/15,15:00,1,m,25.2,13.15,3.05,1.037,n,50,5,9
5/6/15,15:00,1,m,,,,,r,50,6,9
5/11/15,18:00,1,m,,,,,r,50,3,2
4/30/15,15:00,1,f,21.7,11.9,,0.791,n,51,10,11
5/6/15,13:00,1,f,,,,,r,51,10,11
5/11/15,18:00,1,f,,,,,r,51,10,11
4/30/15,16:00,1,m,22.25,12.05,2,0.767,n,52,11,5
4/30/15,16:00,1,m,18.25,10.3,0.85,0.501,n,53,11,5
5/5/15,17:00,1,m,,,,,r,53,8,7
4/30/15,16:00,1,m,23.9,12.65,2.6,0.94,n,54,11,6
4/30/15,16:00,1,m,19.75,10.7,0.95,0.533,n,55,11,7
4/30/15,16:00,1,m,19.7,10.75,0.95,0.408,n,56,7,11
5/11/15,18:00,1,m,,,,,r,56,5,7
5/29/15,12:00,1,m,,,,,r,56,6,4
4/30/15,16:00,1,m,23,12.4,2.9,0.835,n,57,4,9
5/5/15,17:00,1,m,,,,,r,57,8,7
4/30/15,16:00,1,f,21.3,11.8,,0.777,n,58,8,7
5/6/15,11:00,1,f,,,,,r,58,7,6
4/30/15,16:00,1,m,20.85,11.45,1.65,0.654,n,59,5,7
4/30/15,16:00,1,m,18.6,10.3,0.95,0.495,n,60,8,7
5/5/15,17:00,1,m,,,,,r,60,10,7
4/30/15,16:00,1,m,22.15,12.05,2.3,0.762,n,61,10,11
4/30/15,16:00,1,m,21.85,11.75,2.35,0.712,n,62,11,4
4/30/15,16:00,1,m,20.25,10.95,1.05,0.589,n,63,5,10
4/30/15,16:00,1,m,22.25,12.1,2,0.81,n,64,10,5
5/11/15,19:00,1,m,,,,,r,64,5,8
